Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Madagascar,2020-03-31,43.0,1.72,0.0,0.0,0.0,,,0.0,0.0
Madagascar,2020-04-01,57.0,2.28,0.0,0.0,0.0,,,14.0,0.0
Madagascar,2020-04-02,57.0,2.28,0.0,0.0,0.0,,,0.0,0.0
Madagascar,2020-04-03,59.0,2.36,0.0,0.0,0.0,,,2.0,0.0
Madagascar,2020-04-07,72.0,2.74,2.0,0.0,0.0,,,13.0,0.0
Madagascar,2020-04-10,93.0,3.54,11.0,0.0,0.0,,,21.0,0.0
Madagascar,2020-04-11,93.0,3.54,11.0,0.0,0.0,,,0.0,0.0
Madagascar,2020-04-12,102.0,3.89,11.0,0.0,0.0,,,9.0,0.0
Madagascar,2020-04-14,106.0,4.04,20.0,0.0,0.0,,,4.0,0.0
Madagascar,2020-04-17,111.0,4.23,33.0,0.0,0.0,,,5.0,0.0
Madagascar,2020-04-18,117.0,4.46,33.0,0.0,0.0,,,6.0,0.0
Madagascar,2020-04-20,121.0,4.61,39.0,0.0,0.0,,,4.0,0.0
Madagascar,2020-04-22,121.0,4.61,39.0,0.0,0.0,,,0.0,0.0
Madagascar,2020-04-23,121.0,4.61,39.0,0.0,0.0,,,0.0,0.0
Madagascar,2020-04-24,121.0,4.61,58.0,0.0,0.0,,,0.0,0.0
Madagascar,2020-04-25,122.0,4.65,61.0,0.0,0.0,,,1.0,0.0
