date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-22,South America,,OWID_SAM,,,,,,,
2020-02-23,South America,,OWID_SAM,,,,,,,
2020-02-24,South America,,OWID_SAM,,,,,,,
2020-02-25,South America,,OWID_SAM,,,,,,,
2020-02-26,South America,,OWID_SAM,,,,,,,
2020-02-27,South America,,OWID_SAM,,,,,,,
2020-02-28,South America,,OWID_SAM,,,,,,,
2020-02-29,South America,,OWID_SAM,,,,,,,
2020-03-01,South America,,OWID_SAM,,,,,,,
2020-03-02,South America,,OWID_SAM,,,,,,,
2020-03-03,South America,,OWID_SAM,,,,,,,
2020-03-04,South America,,OWID_SAM,,,,,,,
2020-03-05,South America,,OWID_SAM,,,,,,,
2020-03-06,South America,,OWID_SAM,,,,,,,
2020-03-07,South America,,OWID_SAM,,,,,,,
2020-03-08,South America,,OWID_SAM,,,,,,,
2020-03-09,South America,,OWID_SAM,,,,,,,
2020-03-10,South America,,OWID_SAM,,,,,,,
2020-03-11,South America,,OWID_SAM,,,,,,,
2020-03-12,South America,,OWID_SAM,,,,,,,
2020-03-13,South America,,OWID_SAM,,,,,,,
2020-03-14,South America,,OWID_SAM,,,,,,,
2020-03-15,South America,,OWID_SAM,,,,,,,
2020-03-16,South America,,OWID_SAM,,,,,,,
2020-03-17,South America,,OWID_SAM,,,,,,,
2020-03-18,South America,,OWID_SAM,,,,,,,
2020-03-19,South America,,OWID_SAM,,,,,,,
2020-03-20,South America,,OWID_SAM,,,,,,,
2020-03-21,South America,,OWID_SAM,,,,,,,
2020-03-22,South America,,OWID_SAM,,,,,,,
2020-03-23,South America,,OWID_SAM,,,,,,,
2020-03-24,South America,,OWID_SAM,,,,,,,
2020-03-25,South America,,OWID_SAM,,,,,,,
2020-03-26,South America,,OWID_SAM,,,,,,,
2020-03-27,South America,,OWID_SAM,,,,,,,
2020-03-28,South America,,OWID_SAM,,,,,,,
2020-03-29,South America,,OWID_SAM,,,,,,,
2020-03-30,South America,,OWID_SAM,,,,,,,
2020-03-31,South America,,OWID_SAM,,,,,,,
2020-04-01,South America,,OWID_SAM,,,,,,,
2020-04-02,South America,,OWID_SAM,,,,,,,
2020-04-03,South America,,OWID_SAM,,,,,,,
2020-04-04,South America,,OWID_SAM,,,,,,,
2020-04-05,South America,,OWID_SAM,,,,,,,
2020-04-06,South America,,OWID_SAM,,,,,,,
2020-04-07,South America,,OWID_SAM,,,,,,,
2020-04-08,South America,,OWID_SAM,,,,,,,
2020-04-09,South America,,OWID_SAM,,,,,,,
2020-04-10,South America,,OWID_SAM,,,,,,,
2020-04-11,South America,,OWID_SAM,,,,,,,
2020-04-12,South America,,OWID_SAM,,,,,,,
2020-04-13,South America,,OWID_SAM,,,,,,,
2020-04-14,South America,,OWID_SAM,,,,,,,
2020-04-15,South America,,OWID_SAM,,,,,,,
2020-04-16,South America,,OWID_SAM,,,,,,,
2020-04-17,South America,,OWID_SAM,,,,,,,
2020-04-18,South America,,OWID_SAM,,,,,,,
2020-04-19,South America,,OWID_SAM,,,,,,,
2020-04-20,South America,,OWID_SAM,,,,,,,
2020-04-21,South America,,OWID_SAM,,,,,,,
2020-04-22,South America,,OWID_SAM,,,,,,,
2020-04-23,South America,,OWID_SAM,,,,,,,
2020-04-24,South America,,OWID_SAM,,,,,,,
2020-04-25,South America,,OWID_SAM,,,,,,,
2020-04-26,South America,,OWID_SAM,,,,,,,
2020-04-27,South America,,OWID_SAM,,,,,,,
2020-04-28,South America,,OWID_SAM,,,,,,,
2020-04-29,South America,,OWID_SAM,,,,,,,
2020-04-30,South America,,OWID_SAM,,,,,,,
2020-05-01,South America,,OWID_SAM,,,,,,,
2020-05-02,South America,,OWID_SAM,,,,,,,
2020-05-03,South America,,OWID_SAM,,,,,,,
2020-05-04,South America,,OWID_SAM,,,,,,,
2020-05-05,South America,,OWID_SAM,,,,,,,
2020-05-06,South America,,OWID_SAM,,,,,,,
2020-05-07,South America,,OWID_SAM,,,,,,,
2020-05-08,South America,,OWID_SAM,,,,,,,
2020-05-09,South America,,OWID_SAM,,,,,,,
2020-05-10,South America,,OWID_SAM,,,,,,,
2020-05-11,South America,,OWID_SAM,,,,,,,
2020-05-12,South America,,OWID_SAM,,,,,,,
2020-05-13,South America,,OWID_SAM,,,,,,,
2020-05-14,South America,,OWID_SAM,,,,,,,
2020-05-15,South America,,OWID_SAM,,,,,,,
2020-05-16,South America,,OWID_SAM,,,,,,,
2020-05-17,South America,,OWID_SAM,,,,,,,
2020-05-18,South America,,OWID_SAM,,,,,,,
2020-05-19,South America,,OWID_SAM,,,,,,,
2020-05-20,South America,,OWID_SAM,,,,,,,
2020-05-21,South America,,OWID_SAM,,,,,,,
2020-05-22,South America,,OWID_SAM,,,,,,,
2020-05-23,South America,,OWID_SAM,,,,,,,
2020-05-24,South America,,OWID_SAM,,,,,,,
2020-05-25,South America,,OWID_SAM,,,,,,,
2020-05-26,South America,,OWID_SAM,,,,,,,
2020-05-27,South America,,OWID_SAM,,,,,,,
2020-05-28,South America,,OWID_SAM,,,,,,,
2020-05-29,South America,,OWID_SAM,,,,,,,
2020-05-30,South America,,OWID_SAM,,,,,,,
2020-05-31,South America,,OWID_SAM,,,,,,,
2020-06-01,South America,,OWID_SAM,,,,,,,
2020-06-02,South America,,OWID_SAM,,,,,,,
2020-06-03,South America,,OWID_SAM,,,,,,,
2020-06-04,South America,,OWID_SAM,,,,,,,
2020-06-05,South America,,OWID_SAM,,,,,,,
2020-06-06,South America,,OWID_SAM,,,,,,,
2020-06-07,South America,,OWID_SAM,,,,,,,
2020-06-08,South America,,OWID_SAM,,,,,,,
2020-06-09,South America,,OWID_SAM,,,,,,,
2020-06-10,South America,,OWID_SAM,,,,,,,
2020-06-11,South America,,OWID_SAM,,,,,,,
2020-06-12,South America,,OWID_SAM,,,,,,,
2020-06-13,South America,,OWID_SAM,,,,,,,
2020-06-14,South America,,OWID_SAM,,,,,,,
2020-06-15,South America,,OWID_SAM,,,,,,,
2020-06-16,South America,,OWID_SAM,,,,,,,
2020-06-17,South America,,OWID_SAM,,,,,,,
2020-06-18,South America,,OWID_SAM,,,,,,,
2020-06-19,South America,,OWID_SAM,,,,,,,
2020-06-20,South America,,OWID_SAM,,,,,,,
2020-06-21,South America,,OWID_SAM,,,,,,,
2020-06-22,South America,,OWID_SAM,,,,,,,
2020-06-23,South America,,OWID_SAM,,,,,,,
2020-06-24,South America,,OWID_SAM,,,,,,,
2020-06-25,South America,,OWID_SAM,,,,,,,
2020-06-26,South America,,OWID_SAM,,,,,,,
2020-06-27,South America,,OWID_SAM,,,,,,,
2020-06-28,South America,,OWID_SAM,,,,,,,
2020-06-29,South America,,OWID_SAM,,,,,,,
2020-06-30,South America,,OWID_SAM,,,,,,,
2020-07-01,South America,,OWID_SAM,,,,,,,
2020-07-02,South America,,OWID_SAM,,,,,,,
2020-07-03,South America,,OWID_SAM,,,,,,,
2020-07-04,South America,,OWID_SAM,,,,,,,
2020-07-05,South America,,OWID_SAM,,,,,,,
2020-07-06,South America,,OWID_SAM,,,,,,,
2020-07-07,South America,,OWID_SAM,,,,,,,
2020-07-08,South America,,OWID_SAM,,,,,,,
2020-07-09,South America,,OWID_SAM,,,,,,,
2020-07-10,South America,,OWID_SAM,,,,,,,
2020-07-11,South America,,OWID_SAM,,,,,,,
2020-07-12,South America,,OWID_SAM,,,,,,,
