date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-23,Norway,Europe,NOR,,,,,,,
2020-02-26,Norway,Europe,NOR,,,,,,,
2020-02-27,Norway,Europe,NOR,,,,,,,
2020-02-28,Norway,Europe,NOR,,,,,,,
2020-02-29,Norway,Europe,NOR,,,,,,,
2020-03-01,Norway,Europe,NOR,,,,,,,
2020-03-02,Norway,Europe,NOR,,,,,,,
2020-03-03,Norway,Europe,NOR,,,,,,,
2020-03-04,Norway,Europe,NOR,,,,,,,
2020-03-05,Norway,Europe,NOR,,,,,,,
2020-03-06,Norway,Europe,NOR,,,,,,,
2020-03-07,Norway,Europe,NOR,,,,,,,
2020-03-08,Norway,Europe,NOR,,,,,,,
2020-03-09,Norway,Europe,NOR,,,,,,,
2020-03-10,Norway,Europe,NOR,,,,,,,
2020-03-11,Norway,Europe,NOR,,,,,,,
2020-03-12,Norway,Europe,NOR,,,,,,,
2020-03-13,Norway,Europe,NOR,,,,,,,
2020-03-14,Norway,Europe,NOR,,,,,,,
2020-03-15,Norway,Europe,NOR,,,,,,,
2020-03-16,Norway,Europe,NOR,,,,,,,
2020-03-17,Norway,Europe,NOR,,,,,,,
2020-03-18,Norway,Europe,NOR,,,,,,,
2020-03-19,Norway,Europe,NOR,,,,,,,
2020-03-20,Norway,Europe,NOR,,,,,,,
2020-03-21,Norway,Europe,NOR,,,,,,,
2020-03-22,Norway,Europe,NOR,,,,,,,
2020-03-23,Norway,Europe,NOR,,,,,,,
2020-03-24,Norway,Europe,NOR,,,,,,,
2020-03-25,Norway,Europe,NOR,,,,,,,
2020-03-26,Norway,Europe,NOR,,,,,,,
2020-03-27,Norway,Europe,NOR,,,,,,,
2020-03-28,Norway,Europe,NOR,,,,,,,
2020-03-29,Norway,Europe,NOR,,,,,,,
2020-03-30,Norway,Europe,NOR,,,,,,,
2020-03-31,Norway,Europe,NOR,,,,,,,
2020-04-01,Norway,Europe,NOR,,,,,,,
2020-04-02,Norway,Europe,NOR,,,,,,,
2020-04-03,Norway,Europe,NOR,,,,,,,
2020-04-04,Norway,Europe,NOR,,,,,,,
2020-04-05,Norway,Europe,NOR,,,,,,,
2020-04-06,Norway,Europe,NOR,,,,,,,
2020-04-07,Norway,Europe,NOR,,,,,,,
2020-04-08,Norway,Europe,NOR,,,,,,,
2020-04-09,Norway,Europe,NOR,,,,,,,
2020-04-10,Norway,Europe,NOR,,,,,,,
2020-04-11,Norway,Europe,NOR,,,,,,,
2020-04-12,Norway,Europe,NOR,,,,,,,
2020-04-13,Norway,Europe,NOR,,,,,,,
2020-04-14,Norway,Europe,NOR,,,,,,,
2020-04-15,Norway,Europe,NOR,,,,,,,
2020-04-16,Norway,Europe,NOR,,,,,,,
2020-04-17,Norway,Europe,NOR,,,,,,,
2020-04-18,Norway,Europe,NOR,,,,,,,
2020-04-19,Norway,Europe,NOR,,,,,,,
2020-04-20,Norway,Europe,NOR,,,,,,,
2020-04-21,Norway,Europe,NOR,,,,,,,
2020-04-22,Norway,Europe,NOR,,,,,,,
2020-04-23,Norway,Europe,NOR,,,,,,,
2020-04-24,Norway,Europe,NOR,,,,,,,
2020-04-25,Norway,Europe,NOR,,,,,,,
2020-04-26,Norway,Europe,NOR,,,,,,,
2020-04-27,Norway,Europe,NOR,,,,,,,
2020-04-28,Norway,Europe,NOR,,,,,,,
2020-04-29,Norway,Europe,NOR,,,,,,,
2020-04-30,Norway,Europe,NOR,,,,,,,
2020-05-01,Norway,Europe,NOR,,,,,,,
2020-05-02,Norway,Europe,NOR,,,,,,,
2020-05-03,Norway,Europe,NOR,,,,,,,
2020-05-04,Norway,Europe,NOR,,,,,,,
2020-05-05,Norway,Europe,NOR,,,,,,,
2020-05-06,Norway,Europe,NOR,,,,,,,
2020-05-07,Norway,Europe,NOR,,,,,,,
2020-05-08,Norway,Europe,NOR,,,,,,,
2020-05-09,Norway,Europe,NOR,,,,,,,
2020-05-10,Norway,Europe,NOR,,,,,,,
2020-05-11,Norway,Europe,NOR,,,,,,,
2020-05-12,Norway,Europe,NOR,,,,,,,
2020-05-13,Norway,Europe,NOR,,,,,,,
2020-05-14,Norway,Europe,NOR,,,,,,,
2020-05-15,Norway,Europe,NOR,,,,,,,
2020-05-16,Norway,Europe,NOR,,,,,,,
2020-05-17,Norway,Europe,NOR,,,,,,,
2020-05-18,Norway,Europe,NOR,,,,,,,
2020-05-19,Norway,Europe,NOR,,,,,,,
2020-05-20,Norway,Europe,NOR,,,,,,,
2020-05-21,Norway,Europe,NOR,,,,,,,
2020-05-22,Norway,Europe,NOR,,,,,,,
2020-05-23,Norway,Europe,NOR,,,,,,,
2020-05-24,Norway,Europe,NOR,,,,,,,
2020-05-25,Norway,Europe,NOR,,,,,,,
2020-05-26,Norway,Europe,NOR,,,,,,,
2020-05-27,Norway,Europe,NOR,,,,,,,
2020-05-28,Norway,Europe,NOR,,,,,,,
2020-05-29,Norway,Europe,NOR,,,,,,,
2020-05-30,Norway,Europe,NOR,,,,,,,
2020-05-31,Norway,Europe,NOR,,,,,,,
2020-06-01,Norway,Europe,NOR,,,,,,,
2020-06-02,Norway,Europe,NOR,,,,,,,
2020-06-03,Norway,Europe,NOR,,,,,,,
2020-06-04,Norway,Europe,NOR,,,,,,,
2020-06-05,Norway,Europe,NOR,,,,,,,
2020-06-06,Norway,Europe,NOR,,,,,,,
2020-06-07,Norway,Europe,NOR,,,,,,,
2020-06-08,Norway,Europe,NOR,,,,,,,
2020-06-09,Norway,Europe,NOR,,,,,,,
2020-06-10,Norway,Europe,NOR,,,,,,,
2020-06-11,Norway,Europe,NOR,,,,,,,
2020-06-12,Norway,Europe,NOR,,,,,,,
2020-06-13,Norway,Europe,NOR,,,,,,,
2020-06-14,Norway,Europe,NOR,,,,,,,
2020-06-15,Norway,Europe,NOR,,,,,,,
2020-06-16,Norway,Europe,NOR,,,,,,,
2020-06-17,Norway,Europe,NOR,,,,,,,
2020-06-18,Norway,Europe,NOR,,,,,,,
2020-06-19,Norway,Europe,NOR,,,,,,,
2020-06-20,Norway,Europe,NOR,,,,,,,
2020-06-21,Norway,Europe,NOR,,,,,,,
2020-06-22,Norway,Europe,NOR,,,,,,,
2020-06-23,Norway,Europe,NOR,,,,,,,
2020-06-24,Norway,Europe,NOR,,,,,,,
2020-06-25,Norway,Europe,NOR,,,,,,,
2020-06-26,Norway,Europe,NOR,,,,,,,
2020-06-27,Norway,Europe,NOR,,,,,,,
2020-06-28,Norway,Europe,NOR,,,,,,,
