date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-06,Slovakia,Europe,SVK,,,,,,,
2020-03-07,Slovakia,Europe,SVK,,,,,,,
2020-03-08,Slovakia,Europe,SVK,,,,,,,
2020-03-09,Slovakia,Europe,SVK,,,,,,,
2020-03-10,Slovakia,Europe,SVK,,,,,,,
2020-03-11,Slovakia,Europe,SVK,,,,,,,
2020-03-12,Slovakia,Europe,SVK,,,,,,,
2020-03-13,Slovakia,Europe,SVK,,,,,,,
2020-03-14,Slovakia,Europe,SVK,,,,,,,
2020-03-15,Slovakia,Europe,SVK,,,,,,,
2020-03-16,Slovakia,Europe,SVK,,,,,,,
2020-03-17,Slovakia,Europe,SVK,,,,,,,
2020-03-18,Slovakia,Europe,SVK,,,,,,,
2020-03-19,Slovakia,Europe,SVK,,,,,,,
2020-03-20,Slovakia,Europe,SVK,,,,,,,
2020-03-21,Slovakia,Europe,SVK,,,,,,,
2020-03-22,Slovakia,Europe,SVK,,,,,,,
2020-03-23,Slovakia,Europe,SVK,,,,,,,
2020-03-24,Slovakia,Europe,SVK,,,,,,,
2020-03-25,Slovakia,Europe,SVK,,,,,,,
2020-03-26,Slovakia,Europe,SVK,,,,,,,
2020-03-27,Slovakia,Europe,SVK,,,,,,,
2020-03-28,Slovakia,Europe,SVK,,,,,,,
2020-03-29,Slovakia,Europe,SVK,,,,,,,
2020-03-30,Slovakia,Europe,SVK,,,,,,,
2020-03-31,Slovakia,Europe,SVK,,,,,,,
2020-04-01,Slovakia,Europe,SVK,,,,,,,
2020-04-02,Slovakia,Europe,SVK,,,,,,,
2020-04-03,Slovakia,Europe,SVK,,,,,,,
2020-04-04,Slovakia,Europe,SVK,,,,,,,
2020-04-05,Slovakia,Europe,SVK,,,,,,,
2020-04-06,Slovakia,Europe,SVK,,,,,,,
2020-04-07,Slovakia,Europe,SVK,,,,,,,
2020-04-08,Slovakia,Europe,SVK,,,,,,,
2020-04-09,Slovakia,Europe,SVK,,,,,,,
2020-04-10,Slovakia,Europe,SVK,,,,,,,
2020-04-11,Slovakia,Europe,SVK,,,,,,,
2020-04-12,Slovakia,Europe,SVK,,,,,,,
2020-04-13,Slovakia,Europe,SVK,,,,,,,
2020-04-14,Slovakia,Europe,SVK,,,,,,,
2020-04-15,Slovakia,Europe,SVK,,,,,,,
2020-04-16,Slovakia,Europe,SVK,,,,,,,
2020-04-17,Slovakia,Europe,SVK,,,,,,,
2020-04-18,Slovakia,Europe,SVK,,,,,,,
2020-04-19,Slovakia,Europe,SVK,,,,,,,
2020-04-20,Slovakia,Europe,SVK,,,,,,,
2020-04-21,Slovakia,Europe,SVK,,,,,,,
2020-04-22,Slovakia,Europe,SVK,,,,,,,
2020-04-23,Slovakia,Europe,SVK,,,,,,,
2020-04-24,Slovakia,Europe,SVK,,,,,,,
2020-04-25,Slovakia,Europe,SVK,,,,,,,
2020-04-26,Slovakia,Europe,SVK,,,,,,,
2020-04-27,Slovakia,Europe,SVK,,,,,,,
2020-04-28,Slovakia,Europe,SVK,,,,,,,
2020-04-29,Slovakia,Europe,SVK,,,,,,,
2020-04-30,Slovakia,Europe,SVK,,,,,,,
2020-05-01,Slovakia,Europe,SVK,,,,,,,
2020-05-02,Slovakia,Europe,SVK,,,,,,,
