date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-01-06,Latvia,Europe,LVA,,,,,,,
2020-01-18,Latvia,Europe,LVA,,,,,,,
2020-01-24,Latvia,Europe,LVA,,,,,,,
2020-02-02,Latvia,Europe,LVA,,,,,,,
2020-02-09,Latvia,Europe,LVA,,,,,,,
2020-02-15,Latvia,Europe,LVA,,,,,,,
2020-02-23,Latvia,Europe,LVA,,,,,,,
2020-02-29,Latvia,Europe,LVA,,,,,,,
2020-03-01,Latvia,Europe,LVA,,,,,,,
2020-03-02,Latvia,Europe,LVA,,,,,,,
2020-03-03,Latvia,Europe,LVA,,,,,,,
2020-03-04,Latvia,Europe,LVA,,,,,,,
2020-03-05,Latvia,Europe,LVA,,,,,,,
2020-03-06,Latvia,Europe,LVA,,,,,,,
2020-03-07,Latvia,Europe,LVA,,,,,,,
2020-03-08,Latvia,Europe,LVA,,,,,,,
2020-03-09,Latvia,Europe,LVA,,,,,,,
2020-03-10,Latvia,Europe,LVA,,,,,,,
2020-03-11,Latvia,Europe,LVA,,,,,,,
2020-03-12,Latvia,Europe,LVA,,,,,,,
2020-03-13,Latvia,Europe,LVA,,,,,,,
2020-03-14,Latvia,Europe,LVA,,,,,,,
2020-03-15,Latvia,Europe,LVA,,,,,,,
2020-03-16,Latvia,Europe,LVA,,,,,,,
2020-03-17,Latvia,Europe,LVA,,,,,,,
2020-03-18,Latvia,Europe,LVA,,,,,,,
2020-03-19,Latvia,Europe,LVA,,,,,,,
2020-03-20,Latvia,Europe,LVA,,,,,,,
2020-03-21,Latvia,Europe,LVA,,,,,,,
2020-03-22,Latvia,Europe,LVA,,,,,,,
2020-03-23,Latvia,Europe,LVA,,,,,,,
2020-03-24,Latvia,Europe,LVA,,,,,,,
2020-03-25,Latvia,Europe,LVA,,,,,,,
2020-03-26,Latvia,Europe,LVA,,,,,,,
2020-03-27,Latvia,Europe,LVA,,,,,,,
