date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-01-06,Portugal,Europe,PRT,,,,,,,
2020-01-18,Portugal,Europe,PRT,,,,,,,
2020-01-24,Portugal,Europe,PRT,,,,,,,
2020-02-02,Portugal,Europe,PRT,,,,,,,
2020-02-09,Portugal,Europe,PRT,,,,,,,
2020-02-15,Portugal,Europe,PRT,,,,,,,
2020-02-23,Portugal,Europe,PRT,,,,,,,
2020-03-01,Portugal,Europe,PRT,,,,,,,
2020-03-02,Portugal,Europe,PRT,,,,,,,
2020-03-03,Portugal,Europe,PRT,,,,,,,
2020-03-04,Portugal,Europe,PRT,,,,,,,
2020-03-05,Portugal,Europe,PRT,,,,,,,
2020-03-06,Portugal,Europe,PRT,,,,,,,
2020-03-07,Portugal,Europe,PRT,,,,,,,
2020-03-08,Portugal,Europe,PRT,,,,,,,
2020-03-09,Portugal,Europe,PRT,,,,,,,
2020-03-10,Portugal,Europe,PRT,,,,,,,
2020-03-11,Portugal,Europe,PRT,,,,,,,
2020-03-12,Portugal,Europe,PRT,,,,,,,
2020-03-13,Portugal,Europe,PRT,,,,,,,
2020-03-14,Portugal,Europe,PRT,,,,,,,
2020-03-15,Portugal,Europe,PRT,,,,,,,
2020-03-16,Portugal,Europe,PRT,,,,,,,
2020-03-17,Portugal,Europe,PRT,,,,,,,
2020-03-18,Portugal,Europe,PRT,,,,,,,
2020-03-19,Portugal,Europe,PRT,,,,,,,
2020-03-20,Portugal,Europe,PRT,,,,,,,
2020-03-21,Portugal,Europe,PRT,,,,,,,
2020-03-22,Portugal,Europe,PRT,,,,,,,
2020-03-23,Portugal,Europe,PRT,,,,,,,
2020-03-24,Portugal,Europe,PRT,,,,,,,
2020-03-25,Portugal,Europe,PRT,,,,,,,
2020-03-26,Portugal,Europe,PRT,,,,,,,
2020-03-27,Portugal,Europe,PRT,,,,,,,
2020-03-28,Portugal,Europe,PRT,,,,,,,
2020-03-29,Portugal,Europe,PRT,,,,,,,
2020-03-30,Portugal,Europe,PRT,,,,,,,
2020-03-31,Portugal,Europe,PRT,,,,,,,
2020-04-01,Portugal,Europe,PRT,,,,,,,
2020-04-02,Portugal,Europe,PRT,,,,,,,
2020-04-03,Portugal,Europe,PRT,,,,,,,
2020-04-04,Portugal,Europe,PRT,,,,,,,
2020-04-05,Portugal,Europe,PRT,,,,,,,
2020-04-06,Portugal,Europe,PRT,,,,,,,
2020-04-07,Portugal,Europe,PRT,,,,,,,
2020-04-08,Portugal,Europe,PRT,,,,,,,
2020-04-09,Portugal,Europe,PRT,,,,,,,
2020-04-10,Portugal,Europe,PRT,,,,,,,
2020-04-11,Portugal,Europe,PRT,,,,,,,
2020-04-12,Portugal,Europe,PRT,,,,,,,
2020-04-13,Portugal,Europe,PRT,,,,,,,
2020-04-14,Portugal,Europe,PRT,,,,,,,
2020-04-15,Portugal,Europe,PRT,,,,,,,
