date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-25,Austria,Europe,AUT,,,,,,,
2020-02-26,Austria,Europe,AUT,,,,,,,
2020-02-27,Austria,Europe,AUT,,,,,,,
2020-02-28,Austria,Europe,AUT,,,,,,,
2020-02-29,Austria,Europe,AUT,,,,,,,
2020-03-01,Austria,Europe,AUT,,,,,,,
2020-03-02,Austria,Europe,AUT,,,,,,,
2020-03-03,Austria,Europe,AUT,,,,,,,
2020-03-04,Austria,Europe,AUT,,,,,,,
2020-03-05,Austria,Europe,AUT,,,,,,,
2020-03-06,Austria,Europe,AUT,,,,,,,
2020-03-07,Austria,Europe,AUT,,,,,,,
2020-03-08,Austria,Europe,AUT,,,,,,,
2020-03-09,Austria,Europe,AUT,,,,,,,
2020-03-10,Austria,Europe,AUT,,,,,,,
2020-03-11,Austria,Europe,AUT,,,,,,,
2020-03-12,Austria,Europe,AUT,,,,,,,
2020-03-13,Austria,Europe,AUT,,,,,,,
2020-03-14,Austria,Europe,AUT,,,,,,,
2020-03-15,Austria,Europe,AUT,,,,,,,
2020-03-16,Austria,Europe,AUT,,,,,,,
2020-03-17,Austria,Europe,AUT,,,,,,,
2020-03-18,Austria,Europe,AUT,,,,,,,
2020-03-19,Austria,Europe,AUT,,,,,,,
2020-03-20,Austria,Europe,AUT,,,,,,,
2020-03-21,Austria,Europe,AUT,,,,,,,
2020-03-22,Austria,Europe,AUT,,,,,,,
2020-03-23,Austria,Europe,AUT,,,,,,,
2020-03-24,Austria,Europe,AUT,,,,,,,
2020-03-25,Austria,Europe,AUT,,,,,,,
2020-03-26,Austria,Europe,AUT,,,,,,,
2020-03-27,Austria,Europe,AUT,,,,,,,
2020-03-28,Austria,Europe,AUT,,,,,,,
2020-03-29,Austria,Europe,AUT,,,,,,,
2020-03-30,Austria,Europe,AUT,,,,,,,
2020-03-31,Austria,Europe,AUT,,,,,,,
2020-04-01,Austria,Europe,AUT,,,,,,,
2020-04-02,Austria,Europe,AUT,,,,,,,
2020-04-03,Austria,Europe,AUT,,,,,,,
2020-04-04,Austria,Europe,AUT,,,,,,,
2020-04-05,Austria,Europe,AUT,,,,,,,
2020-04-06,Austria,Europe,AUT,,,,,,,
2020-04-07,Austria,Europe,AUT,,,,,,,
2020-04-08,Austria,Europe,AUT,,,,,,,
2020-04-09,Austria,Europe,AUT,,,,,,,
2020-04-10,Austria,Europe,AUT,,,,,,,
2020-04-11,Austria,Europe,AUT,,,,,,,
2020-04-12,Austria,Europe,AUT,,,,,,,
2020-04-13,Austria,Europe,AUT,,,,,,,
2020-04-14,Austria,Europe,AUT,,,,,,,
2020-04-15,Austria,Europe,AUT,,,,,,,
2020-04-16,Austria,Europe,AUT,,,,,,,
2020-04-17,Austria,Europe,AUT,,,,,,,
2020-04-18,Austria,Europe,AUT,,,,,,,
2020-04-19,Austria,Europe,AUT,,,,,,,
2020-04-20,Austria,Europe,AUT,,,,,,,
2020-04-21,Austria,Europe,AUT,,,,,,,
2020-04-22,Austria,Europe,AUT,,,,,,,
2020-04-23,Austria,Europe,AUT,,,,,,,
2020-04-24,Austria,Europe,AUT,,,,,,,
2020-04-25,Austria,Europe,AUT,,,,,,,
2020-04-26,Austria,Europe,AUT,,,,,,,
2020-04-27,Austria,Europe,AUT,,,,,,,
2020-04-28,Austria,Europe,AUT,,,,,,,
2020-04-29,Austria,Europe,AUT,,,,,,,
2020-04-30,Austria,Europe,AUT,,,,,,,
2020-05-01,Austria,Europe,AUT,,,,,,,
2020-05-02,Austria,Europe,AUT,,,,,,,
2020-05-03,Austria,Europe,AUT,,,,,,,
2020-05-04,Austria,Europe,AUT,,,,,,,
2020-05-05,Austria,Europe,AUT,,,,,,,
2020-05-06,Austria,Europe,AUT,,,,,,,
2020-05-07,Austria,Europe,AUT,,,,,,,
2020-05-08,Austria,Europe,AUT,,,,,,,
2020-05-09,Austria,Europe,AUT,,,,,,,
2020-05-10,Austria,Europe,AUT,,,,,,,
2020-05-11,Austria,Europe,AUT,,,,,,,
2020-05-12,Austria,Europe,AUT,,,,,,,
2020-05-13,Austria,Europe,AUT,,,,,,,
2020-05-14,Austria,Europe,AUT,,,,,,,
2020-05-15,Austria,Europe,AUT,,,,,,,
2020-05-16,Austria,Europe,AUT,,,,,,,
2020-05-17,Austria,Europe,AUT,,,,,,,
2020-05-18,Austria,Europe,AUT,,,,,,,
2020-05-19,Austria,Europe,AUT,,,,,,,
2020-05-20,Austria,Europe,AUT,,,,,,,
2020-05-21,Austria,Europe,AUT,,,,,,,
2020-05-22,Austria,Europe,AUT,,,,,,,
2020-05-23,Austria,Europe,AUT,,,,,,,
2020-05-24,Austria,Europe,AUT,,,,,,,
2020-05-25,Austria,Europe,AUT,,,,,,,
2020-05-26,Austria,Europe,AUT,,,,,,,
2020-05-27,Austria,Europe,AUT,,,,,,,
2020-05-28,Austria,Europe,AUT,,,,,,,
2020-05-29,Austria,Europe,AUT,,,,,,,
2020-05-30,Austria,Europe,AUT,,,,,,,
2020-05-31,Austria,Europe,AUT,,,,,,,
2020-06-01,Austria,Europe,AUT,,,,,,,
2020-06-02,Austria,Europe,AUT,,,,,,,
2020-06-03,Austria,Europe,AUT,,,,,,,
2020-06-04,Austria,Europe,AUT,,,,,,,
2020-06-05,Austria,Europe,AUT,,,,,,,
2020-06-06,Austria,Europe,AUT,,,,,,,
2020-06-07,Austria,Europe,AUT,,,,,,,
2020-06-08,Austria,Europe,AUT,,,,,,,
2020-06-09,Austria,Europe,AUT,,,,,,,
2020-06-10,Austria,Europe,AUT,,,,,,,
2020-06-11,Austria,Europe,AUT,,,,,,,
2020-06-12,Austria,Europe,AUT,,,,,,,
2020-06-13,Austria,Europe,AUT,,,,,,,
2020-06-14,Austria,Europe,AUT,,,,,,,
2020-06-15,Austria,Europe,AUT,,,,,,,
2020-06-16,Austria,Europe,AUT,,,,,,,
2020-06-17,Austria,Europe,AUT,,,,,,,
2020-06-18,Austria,Europe,AUT,,,,,,,
2020-06-19,Austria,Europe,AUT,,,,,,,
2020-06-20,Austria,Europe,AUT,,,,,,,
2020-06-21,Austria,Europe,AUT,,,,,,,
2020-06-22,Austria,Europe,AUT,,,,,,,
2020-06-23,Austria,Europe,AUT,,,,,,,
2020-06-24,Austria,Europe,AUT,,,,,,,
2020-06-25,Austria,Europe,AUT,,,,,,,
2020-06-26,Austria,Europe,AUT,,,,,,,
2020-06-27,Austria,Europe,AUT,,,,,,,
2020-06-28,Austria,Europe,AUT,,,,,,,
2020-06-29,Austria,Europe,AUT,,,,,,,
2020-06-30,Austria,Europe,AUT,,,,,,,
2020-07-01,Austria,Europe,AUT,,,,,,,
2020-07-02,Austria,Europe,AUT,,,,,,,
2020-07-03,Austria,Europe,AUT,,,,,,,
2020-07-04,Austria,Europe,AUT,,,,,,,
2020-07-05,Austria,Europe,AUT,,,,,,,
2020-07-06,Austria,Europe,AUT,,,,,,,
2020-07-07,Austria,Europe,AUT,,,,,,,
2020-07-08,Austria,Europe,AUT,,,,,,,
2020-07-09,Austria,Europe,AUT,,,,,,,
2020-07-10,Austria,Europe,AUT,,,,,,,
2020-07-11,Austria,Europe,AUT,,,,,,,
2020-07-12,Austria,Europe,AUT,,,,,,,
2020-07-13,Austria,Europe,AUT,,,,,,,
2020-07-14,Austria,Europe,AUT,,,,,,,
2020-07-15,Austria,Europe,AUT,,,,,,,
2020-07-16,Austria,Europe,AUT,,,,,,,
2020-07-17,Austria,Europe,AUT,,,,,,,
2020-07-18,Austria,Europe,AUT,,,,,,,
2020-07-19,Austria,Europe,AUT,,,,,,,
2020-07-20,Austria,Europe,AUT,,,,,,,
2020-07-21,Austria,Europe,AUT,,,,,,,
2020-07-22,Austria,Europe,AUT,,,,,,,
2020-07-23,Austria,Europe,AUT,,,,,,,
2020-07-24,Austria,Europe,AUT,,,,,,,
2020-07-25,Austria,Europe,AUT,,,,,,,
2020-07-26,Austria,Europe,AUT,,,,,,,
2020-07-27,Austria,Europe,AUT,,,,,,,
2020-07-28,Austria,Europe,AUT,,,,,,,
2020-07-29,Austria,Europe,AUT,,,,,,,
2020-07-30,Austria,Europe,AUT,,,,,,,
2020-07-31,Austria,Europe,AUT,,,,,,,
2020-08-01,Austria,Europe,AUT,,,,,,,
2020-08-02,Austria,Europe,AUT,,,,,,,
2020-08-03,Austria,Europe,AUT,,,,,,,
2020-08-04,Austria,Europe,AUT,,,,,,,
2020-08-05,Austria,Europe,AUT,,,,,,,
2020-08-06,Austria,Europe,AUT,,,,,,,
2020-08-07,Austria,Europe,AUT,,,,,,,
2020-08-08,Austria,Europe,AUT,,,,,,,
2020-08-09,Austria,Europe,AUT,,,,,,,
2020-08-10,Austria,Europe,AUT,,,,,,,
2020-08-11,Austria,Europe,AUT,,,,,,,
2020-08-12,Austria,Europe,AUT,,,,,,,
2020-08-13,Austria,Europe,AUT,,,,,,,
2020-08-14,Austria,Europe,AUT,,,,,,,
2020-08-15,Austria,Europe,AUT,,,,,,,
2020-08-16,Austria,Europe,AUT,,,,,,,
2020-08-17,Austria,Europe,AUT,,,,,,,
2020-08-18,Austria,Europe,AUT,,,,,,,
2020-08-19,Austria,Europe,AUT,,,,,,,
2020-08-20,Austria,Europe,AUT,,,,,,,
2020-08-21,Austria,Europe,AUT,,,,,,,
2020-08-22,Austria,Europe,AUT,,,,,,,
2020-08-23,Austria,Europe,AUT,,,,,,,
2020-08-24,Austria,Europe,AUT,,,,,,,
2020-08-25,Austria,Europe,AUT,,,,,,,
2020-08-26,Austria,Europe,AUT,,,,,,,
2020-08-27,Austria,Europe,AUT,,,,,,,
2020-08-28,Austria,Europe,AUT,,,,,,,
2020-08-29,Austria,Europe,AUT,,,,,,,
2020-08-30,Austria,Europe,AUT,,,,,,,
2020-08-31,Austria,Europe,AUT,,,,,,,
2020-09-01,Austria,Europe,AUT,,,,,,,
2020-09-02,Austria,Europe,AUT,,,,,,,
2020-09-03,Austria,Europe,AUT,,,,,,,
2020-09-04,Austria,Europe,AUT,,,,,,,
2020-09-05,Austria,Europe,AUT,,,,,,,
2020-09-06,Austria,Europe,AUT,,,,,,,
2020-09-07,Austria,Europe,AUT,,,,,,,
2020-09-08,Austria,Europe,AUT,,,,,,,
2020-09-09,Austria,Europe,AUT,,,,,,,
2020-09-10,Austria,Europe,AUT,,,,,,,
2020-09-11,Austria,Europe,AUT,,,,,,,
2020-09-12,Austria,Europe,AUT,,,,,,,
2020-09-13,Austria,Europe,AUT,,,,,,,
2020-09-14,Austria,Europe,AUT,,,,,,,
2020-09-15,Austria,Europe,AUT,,,,,,,
2020-09-16,Austria,Europe,AUT,,,,,,,
2020-09-17,Austria,Europe,AUT,,,,,,,
2020-09-18,Austria,Europe,AUT,,,,,,,
2020-09-19,Austria,Europe,AUT,,,,,,,
2020-09-20,Austria,Europe,AUT,,,,,,,
2020-09-21,Austria,Europe,AUT,,,,,,,
2020-09-22,Austria,Europe,AUT,,,,,,,
2020-09-23,Austria,Europe,AUT,,,,,,,
2020-09-24,Austria,Europe,AUT,,,,,,,
2020-09-25,Austria,Europe,AUT,,,,,,,
2020-09-26,Austria,Europe,AUT,,,,,,,
2020-09-27,Austria,Europe,AUT,,,,,,,
2020-09-28,Austria,Europe,AUT,,,,,,,
2020-09-29,Austria,Europe,AUT,,,,,,,
2020-09-30,Austria,Europe,AUT,,,,,,,
2020-10-01,Austria,Europe,AUT,,,,,,,
2020-10-02,Austria,Europe,AUT,,,,,,,
2020-10-03,Austria,Europe,AUT,,,,,,,
2020-10-04,Austria,Europe,AUT,,,,,,,
2020-10-05,Austria,Europe,AUT,,,,,,,
2020-10-06,Austria,Europe,AUT,,,,,,,
2020-10-07,Austria,Europe,AUT,,,,,,,
2020-10-08,Austria,Europe,AUT,,,,,,,
2020-10-09,Austria,Europe,AUT,,,,,,,
2020-10-10,Austria,Europe,AUT,,,,,,,
2020-10-11,Austria,Europe,AUT,,,,,,,
